code;count;grade_A;grade_B;grade_C;grade_D;grade_E;grade_FX;average_grade
6BI0018;207;81.16;14.01;3.86;0.97;0.00;0.00;1.2464
6BT0001;206;96.12;0.97;0.00;0.49;0.49;1.94;1.1411
6BI0007;183;90.71;6.56;2.73;0.00;0.00;0.00;1.1201999999999999
6BT0003;220;97.27;0.00;0.45;0.45;0.00;1.82;1.1134
6BT0005;152;98.03;0.00;0.00;0.00;0.00;1.97;1.0985
6BT0006;120;98.33;0.83;0.00;0.00;0.00;0.83;1.0497
6BT0002;147;97.96;1.36;0.00;0.00;0.00;0.68;1.0475999999999999
6UI0007;125;99.20;0.00;0.80;0.00;0.00;0.00;1.016
6BT0004;148;99.32;0.68;0.00;0.00;0.00;0.00;1.0068
6BT0008;13;100.00;0.00;0.00;0.00;0.00;0.00;1.0
6BX0001;309;100.00;0.00;0.00;0.00;0.00;0.00;1.0
6BI0052;31;100.00;0.00;0.00;0.00;0.00;0.00;1.0
6BM0029;0;0;0;0;0;0;0;0.0
6BA0017;0;0;0;0;0;0;0;0.0
6BA0003;0;0;0;0;0;0;0;0.0
