Stemmed Word,Subject1,Subj1_Occurrences,Subject2,Subj2_Occurrences,Subject3,Subj3_Occurrences
rastr,6BI0024,5,-,0,-,0
regresi,6BA0015,4,6UI0005,2,6UA0002,2
reprezentáci,6BI0003,2,6UI0004,2,6BA0015,1
riadeni,6BM0018,6,6BM0021,3,6BH0002,2
riadia,6BI0001,2,6BI0032,1,6BI0054,1
rov,6BA0012,3,6BA0007,3,6BA0014,2
rovní,6BA0008,4,6BA0001,3,6BA0007,2
rozhodovani,6BM0014,3,6UM0007,2,6BM0024,2
rozhra,6BI0033,1,6BI0046,1,6BI0050,1
rozhrani,6BI0033,4,6BI0046,2,6BI0051,2
rozpoče,6UM0004,3,6BM0027,1,6BM0017,1
sadzb,6UI0006,4,6UM0004,1,-,0
selec,6BI0005,5,6BI0047,1,-,0
sie,6BI0053,17,6BI0034,10,6BI0026,8
sieť,6BI0027,7,6BI0034,6,6BI0052,5
sieťach,6BI0034,4,6BI0028,2,6BI0027,2
simuláci,6BE0002,8,6UA0003,5,6BA0013,3
smerova,6BI0027,5,6BI0034,2,6BI0026,1
sociolog,6BH0002,3,-,0,-,0
sociológi,6BH0002,7,-,0,-,0
sociál,6BH0002,12,6BM0002,2,6BM0012,1
softv,6BM0024,3,6BI0055,3,6UI0010,3
softvéru,6BI0038,3,6UI0010,3,6UI0001,2
sour,6BI0018,2,6UI0006,1,-,0
speech,6BJ0005,2,6BJ0001,1,-,0
spojitosť,6BA0006,3,6BA0014,1,-,0
spracovani,6BM0028,4,6BM0024,3,6BA0015,3
správ,6BI0046,7,6BI0035,6,6BH0003,4
sql,6BI0005,9,6BI0047,2,6BI0045,1
suffi,6BJ0005,2,6BJ0006,1,-,0
systém,6BI0019,10,6BI0046,7,6BI0043,7
súbor,6BI0035,4,6BI0046,2,6BI0034,1
tabuli,6UI0006,2,6BI0006,2,6UI0004,1
tabuľ,6UI0002,6,6UI0006,6,6UI0004,4
tcpip,6BI0034,2,6BI0026,1,-,0
techn,6BI0040,8,6BH0003,2,6BA0001,2
technológi,6BI0053,5,6BI0026,4,6BI0034,4
teles,6BF0001,2,6BT0001,1,-,0
telových,6BT0001,1,6BT0007,1,-,0
ten,6BJ0005,2,6BJ0002,1,6BZ0001,1
teré,6BT0007,2,-,0,-,0
tes,6BI0055,11,6UA0002,5,6UI0010,2
testovani,6BI0055,6,6UA0002,2,6BI0032,2
tla,6BI0001,9,6BF0001,1,6UI0006,1
tlačiar,6BI0001,6,6BI0009,1,-,0
transformáci,6BA0008,4,6BA0015,3,6UI0005,2
tím,6BH0003,6,6BU0001,4,6BF0001,2
uml,6BI0038,7,6UI0010,1,-,0
urk,6BA0006,3,6BA0007,2,6UI0005,1
vektor,6BA0001,8,6BA0015,3,6BI0023,3
virtuál,6BM0027,1,6BI0045,1,6BM0024,1
visua,6BI0016,2,6BI0006,2,6BI0054,2
vstav,6BI0051,6,6UI0009,3,6BI0022,1
vzor,6UI0006,5,6BM0028,4,6UI0002,2
výkonn,6BM0004,2,6BT0001,1,6BM0027,1
výnimi,6BI0033,2,6BI0013,1,-,0
výpoč,6BA0005,2,6BA0015,2,6BA0002,2
výr,6BL0001,2,6BM0014,2,6BI0001,1
web,6UI0012,8,6BI0024,2,6UI0006,2
wif,6BI0053,3,6BI0026,1,6BI0034,1
windows,6BI0054,8,6BI0039,2,6BI0046,2
zabezpečeni,6BI0034,2,6BM0024,1,6BI0007,1
zapúzdreni,6BI0033,4,6BI0032,1,6BI0011,1
zariadeni,6BI0034,4,6BI0028,2,6BI0048,2
zdrav,6BT0001,1,-,0,-,0
závislosť,6BA0001,1,6BI0012,1,6UA0002,1
údaj,6UI0004,7,6BM0028,6,6UI0009,4
účt,6UM0001,17,6BM0024,1,6BM0004,1
účtovní,6UM0001,5,6BM0024,3,6BM0004,1
číse,6BA0009,2,6BA0007,2,6UA0002,1
čísl,6BI0003,10,6BI0020,3,6BE0001,2
špor,6BM0025,10,6BT0001,5,-,0
štat,6UA0002,5,6BM0006,2,6BA0013,2
štatist,6UA0002,8,6BM0028,4,6BA0017,4
